AB695089.1 Endozoicomonas numazuensis gene for	2001-06-01
FJ347758.1 Endozoicomonas montiporae CL-33	2009-08-01
FJ930289.1 Uncultured bacterium clone C7-A01c	2009-04-01
HE818343.1 Endozoicomonas sp. Ez302 partial	2010-06-16
HM804435.1 Endozoicimonas sp. 5U3,1 2	2008-07-01
JN635416.1 Uncultured Endozoicomonas sp. clone T679U3361	2007-06-01
JN635417.1 Uncultured Endozoicomonas sp. clone T679U3917	2007-06-01
JN635418.1 Uncultured Endozoicomonas sp. clone T679U4336	2007-06-01
JN635419.1 Uncultured Endozoicomonas sp. clone T679U4172	2007-06-01
JN635420.1 Uncultured Endozoicomonas sp. clone T679U3170	2007-06-01
JN635421.1 Uncultured Endozoicomonas sp. clone T679U4214	2007-06-01
JN635422.1 Uncultured Endozoicomonas sp. clone T679U3769	2007-06-01
JN635423.1 Uncultured Endozoicomonas sp. clone T679U3602	2007-06-01
JN635424.1 Uncultured Endozoicomonas sp. clone T679U3321	2007-06-01
JN635425.1 Uncultured Endozoicomonas sp. clone T679U3322	2007-06-01
JN635437.1 Uncultured Endozoicomonas sp. clone T679U192	2014-04-01
JN635438.1 Uncultured Endozoicomonas sp. clone T679U3381	2014-07-17
JN635439.1 Uncultured Endozoicomonas sp. clone T679U3312	2014-07-17
JN635440.1 Uncultured Endozoicomonas sp. clone T679U3556	2014-07-17
JN635441.1 Uncultured Endozoicomonas sp. clone T679U163	2014-04-01
JN635442.1 Uncultured Endozoicomonas sp. clone T679U3327	2014-07-17
JN635443.1 Uncultured Endozoicomonas sp. clone T679U3329	2014-07-17
JN635444.1 Uncultured Endozoicomonas sp. clone T679U122	2014-04-01
JN635445.1 Uncultured Endozoicomonas sp. clone T679U6	2014-04-01
JN635446.1 Uncultured Endozoicomonas sp. clone T679U113	2014-04-01
JN635447.1 Uncultured Endozoicomonas sp. clone T679U3533	2014-07-17
JN635448.1 Uncultured Endozoicomonas sp. clone T679U3196	2014-07-17
JN635449.1 Uncultured Endozoicomonas sp. clone T679U4986	2014-07-17
JN635450.1 Uncultured Endozoicomonas sp. clone T679U351	2014-04-01
JN635451.1 Uncultured Endozoicomonas sp. clone T679U228	2014-04-01
