id,label,species,country,group,host,isolation_source,sequence_length,clone,collection_date,lat_dec,long_dec
AB695089.1,"Endozoicomonas numazuensis from Haplosclerida gen. et sp. in Shizuoka, Numazu, Japan",Endozoicomonas numazuensis,Japan,AB695,Haplosclerida gen. et sp.,"Shizuoka, Numazu",1468,,6/01/01 0:00,35.064388888888885,138.81799999999998
FJ347758.1,"Endozoicomonas montiporae CL-33 from Montipora aequituberculata in Kenting, Taiwan",Endozoicomonas montiporae CL-33,Taiwan,FJ347,Montipora aequituberculata,Kenting,1464,,8/01/09 0:00,21.907194444444443,120.76916666666666
FJ930289.1,"Uncultured bacterium clone from Porites compressa in West Maui patch reef, USA",Uncultured bacterium clone,USA,FJ930,Porites compressa,West Maui patch reef,1412,C7-A01c,4/01/09 0:00,20.80665,-156.6010667
HE818343.1,"Endozoicimonas from Irciniidae sponges in Algarve, Gale Alta, Armacao de Pera, Portugal",Endozoicimonas,Portugal,HE818,Irciniidae sponges,"Algarve, Gale Alta, Armacao de Pera",1406,,6/16/10 0:00,37.06933333333334,-8.331138889
HM804435.1,"Endozoicimonas from Acropora clathrata in Qit'at Bnaider, Kuwait",Endozoicimonas,Kuwait,HM804,Acropora clathrata,Qit'at Bnaider,445,,7/01/08 0:00,28.79802777777778,48.3165
JN635416.1,"Uncultured Endozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Endozoicomonas,Taiwan,JN635,Stylophora pistillata,Kenting,343,T679U3361,6/01/07 0:00,21.948333333333334,120.80833333333334
JN635417.1,"Uncultured Endozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Endozoicomonas,Taiwan,JN635,Stylophora pistillata,Kenting,344,T679U3917,6/01/07 0:00,21.948333333333334,120.80833333333334
JN635418.1,"Uncultured Endozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Endozoicomonas,Taiwan,JN635,Stylophora pistillata,Kenting,344,T679U4336,6/01/07 0:00,21.948333333333334,120.80833333333334
JN635419.1,"Uncultured Endozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Endozoicomonas,Taiwan,JN635,Stylophora pistillata,Kenting,345,T679U4172,6/01/07 0:00,21.948333333333334,120.80833333333334
JN635420.1,"Uncultured Endozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Endozoicomonas,Taiwan,JN635,Stylophora pistillata,Kenting,338,T679U3170,6/01/07 0:00,21.948333333333334,120.80833333333334
JN635421.1,"Uncultured Endozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Endozoicomonas,Taiwan,JN635,Stylophora pistillata,Kenting,344,T679U4214,6/01/07 0:00,21.948333333333334,120.80833333333334
JN635422.1,"Uncultured Endozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Endozoicomonas,Taiwan,JN635,Stylophora pistillata,Kenting,345,T679U3769,6/01/07 0:00,21.948333333333334,120.80833333333334
JN635423.1,"Uncultured Endozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Endozoicomonas,Taiwan,JN635,Stylophora pistillata,Kenting,343,T679U3602,6/01/07 0:00,21.948333333333334,120.80833333333334
JN635424.1,"Uncultured Endozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Endozoicomonas,Taiwan,JN635,Stylophora pistillata,Kenting,340,T679U3321,6/01/07 0:00,21.948333333333334,120.80833333333334
JN635425.1,"Uncultured Endozoicomonas from Stylophora pistillata in Kenting, Taiwan",Uncultured Endozoicomonas,Taiwan,JN635,Stylophora pistillata,Kenting,338,T679U3322,6/01/07 0:00,21.948333333333334,120.80833333333334
